8.19E-01,7.33E-01
7.04E-01,4.53E-01
7.24E-01,2.48E-01
8.46E-02,7.47E-01
7.57E-01,2.35E-02
1.68E-01,4.96E-03
1.14E-01,6.52E-01
5.03E-01,2.04E-01
8.71E-01,2.29E-01
3.97E-01,7.93E-01
9.26E-01,3.65E-01
6.56E-01,2.36E-02
7.62E-01,3.18E-01
6.66E-01,8.55E-01
8.76E-02,9.94E-01
4.70E-01,7.21E-01
1.46E-01,8.77E-01
4.28E-02,5.34E-02
7.25E-01,7.33E-01
8.22E-01,9.73E-01
3.95E-01,6.15E-01
3.56E-01,6.50E-01
8.98E-01,5.97E-02
5.87E-01,2.44E-01
3.66E-01,3.95E-02
8.46E-01,5.98E-01
5.31E-01,3.49E-01
7.14E-01,6.83E-01
3.76E-03,2.58E-01
6.52E-01,3.07E-01
9.48E-01,6.11E-01
2.42E-01,5.04E-01
4.81E-01,8.91E-01
8.89E-01,9.52E-01
2.43E-03,4.60E-01
2.00E-01,6.78E-01
7.74E-01,5.08E-01
8.97E-01,5.49E-01
8.72E-01,6.23E-01
7.40E-02,6.70E-01
2.00E-01,3.58E-01
2.01E-01,6.43E-01
2.74E-01,7.58E-01
7.46E-01,7.37E-01
2.48E-01,6.50E-01
5.06E-01,6.49E-01
1.07E-01,5.04E-01
2.28E-01,9.27E-01
6.80E-01,6.15E-01
2.27E-01,9.58E-01
1.55E-01,5.38E-01
7.55E-02,5.08E-01
3.57E-01,2.33E-01
3.46E-01,4.17E-01
7.38E-01,6.07E-01
6.00E-01,4.29E-01
1.42E-01,6.60E-01
1.23E-01,6.93E-01
5.33E-01,7.13E-01
7.30E-01,7.90E-01
7.52E-01,7.70E-01
6.74E-01,2.93E-01
5.08E-01,3.24E-01
1.64E-01,9.74E-02
7.70E-01,3.60E-01
7.90E-01,2.76E-01
8.08E-01,3.14E-01
9.46E-01,5.94E-01
1.75E-01,6.90E-01
8.03E-01,6.86E-01
7.01E-01,1.61E-01
5.67E-01,1.99E-01
5.12E-01,5.52E-01
4.53E-01,9.26E-01
1.18E-01,5.97E-01
6.85E-01,1.37E-01
3.53E-01,7.84E-01
4.20E-01,3.36E-01
8.85E-01,4.75E-01
5.98E-01,1.76E-02
4.51E-01,8.78E-01
1.60E-01,8.87E-01
3.05E-01,8.57E-01
6.88E-01,9.23E-01
6.87E-01,8.46E-01
6.00E-01,9.03E-01
2.33E-01,7.07E-01
9.01E-01,9.53E-01
6.82E-01,9.24E-01
4.96E-01,4.20E-01
9.35E-01,7.91E-01
2.89E-01,9.64E-01
6.39E-01,2.10E-01
6.14E-01,1.49E-01
2.10E-01,6.19E-01
7.82E-01,9.05E-01
6.79E-01,7.90E-01
8.60E-02,2.30E-01
5.77E-01,9.48E-02
8.39E-01,2.74E-01
